InventoryID,Company,TypeName,GPU,Screen,Memory,Weight,Rating,Price
624,Lenovo,Gaming,Nvidia,15.6,8,2.5,4,1189
626,Lenovo,Gaming,Nvidia,15.6,8,2.4,3,819
628,Lenovo,Notebook,Nvidia,15.6,16,2.5,2,2449
629,Lenovo,Notebook,Nvidia,15.6,16,2.5,3,2370
630,Lenovo,Notebook,Nvidia,17.3,16,2.4,10,2968
631,Lenovo,Notebook,Intel,14,16,1.1,9,2620
632,Lenovo,Notebook,AMD,15.6,16,2.5,9,1099
633,Lenovo,Notebook,Intel,13.3,16,1.4,9,1499
634,Lenovo,Notebook,Intel,14,4,1.44,7,249
638,Lenovo,Notebook,Intel,15.6,4,1.85,7,414.9
639,Lenovo,Notebook,Intel,15.6,4,1.9,7,252.36
640,Lenovo,Notebook,Nvidia,15.6,4,2.2,1,499
643,Lenovo,Notebook,Intel,15.6,4,2.1,5,493
644,Lenovo,Notebook,Intel,15.6,4,2.2,10,444
646,Lenovo,Notebook,Intel,17.3,4,2.8,6,489
647,Lenovo,Notebook,Intel,15.6,4,2.2,8,359.99
649,Lenovo,Notebook,Nvidia,17.3,4,2.79,1,589
651,Lenovo,Notebook,Intel,15.6,4,1.85,10,449
652,Lenovo,Notebook,Intel,15.6,4,2.2,10,321.99
653,Lenovo,Notebook,AMD,17.3,4,2.6,7,489
655,Lenovo,Notebook,Intel,13.3,4,1.5,3,549
660,Lenovo,Notebook,Intel,15.6,4,2.3,10,565
661,Lenovo,Notebook,Intel,14,4,2.1,9,299
664,Lenovo,Notebook,Intel,15.6,4,2.15,7,462.35
667,Lenovo,Notebook,Intel,15.6,4,2.2,9,344
676,Lenovo,Notebook,Intel,15.6,4,2.2,10,535
677,Lenovo,Notebook,AMD,15.6,4,2.2,6,349
679,Lenovo,Notebook,Intel,14,4,1.7,6,699
680,Lenovo,Notebook,AMD,15.6,4,2.2,3,399
682,Lenovo,Notebook,Intel,15.6,4,1.9,6,450
684,Lenovo,Notebook,Intel,15.6,4,1.9,6,489.9
685,Lenovo,Notebook,Intel,15.6,4,1.85,7,779
686,Lenovo,Notebook,Nvidia,15.6,4,2.4,2,609
689,Lenovo,Notebook,Intel,15.6,4,2.2,3,469
692,Lenovo,Notebook,Intel,13.3,4,1.44,3,735
693,Lenovo,Notebook,AMD,17.3,4,2.8,6,379
696,Lenovo,Notebook,Intel,14,4,1.7,2,1002
699,Lenovo,Notebook,Intel,15.6,4,2.1,3,540
700,Lenovo,Notebook,Intel,15.6,4,2.1,1,429
701,Lenovo,Notebook,Intel,15.6,4,1.9,9,339
706,Lenovo,Notebook,AMD,15.6,4,2.2,3,299
708,Lenovo,Notebook,Intel,15.6,6,2.2,4,579
710,Lenovo,Notebook,Nvidia,17.3,6,2.8,6,649
711,Lenovo,Notebook,Nvidia,17.3,6,2.8,10,719
713,Lenovo,Notebook,Intel,15.6,6,2.4,10,564
714,Lenovo,Notebook,Nvidia,15.6,6,2.2,4,789
716,Lenovo,Notebook,AMD,15.6,6,2.2,5,549
719,Lenovo,Notebook,Nvidia,15.6,8,2.2,6,499
722,Lenovo,Notebook,Intel,14,8,1.58,2,1480
723,Lenovo,Notebook,Nvidia,15.6,8,2.2,10,629
724,Lenovo,Notebook,AMD,14,8,1.75,2,1116.02
725,Lenovo,Notebook,AMD,15.6,8,1.9,2,813
727,Lenovo,Notebook,Intel,15.6,8,2.2,2,597
728,Lenovo,Notebook,Intel,15.6,8,2.2,5,549
729,Lenovo,Notebook,Nvidia,17.3,8,2.8,8,589
732,Lenovo,Notebook,Nvidia,17.3,8,2.8,6,849
733,Lenovo,Notebook,Intel,15.6,8,1.95,3,1097
734,Lenovo,Notebook,Nvidia,15.6,8,2.2,1,659.01
736,Lenovo,Notebook,Nvidia,15.6,8,2.2,5,549
737,Lenovo,Notebook,Nvidia,15.6,8,2.3,6,819
738,Lenovo,Notebook,Intel,13.3,8,1.1,9,999
739,Lenovo,Notebook,Nvidia,15.6,8,2.2,8,499
744,Lenovo,Notebook,Intel,13.3,8,1.4,7,1010
746,Lenovo,Notebook,Intel,14,8,1.65,5,1345
747,Lenovo,Notebook,AMD,14,8,1.5,10,799
755,Lenovo,Notebook,Intel,13.3,8,1.44,10,949
756,Lenovo,Notebook,Intel,14,8,2.02,3,1340
757,Lenovo,Notebook,Nvidia,15.6,8,2.2,9,459
758,Lenovo,Notebook,Nvidia,14,8,1.87,8,859
761,Lenovo,Notebook,Intel,15.6,8,2.3,2,830
763,Lenovo,Notebook,Intel,14,8,1.7,4,1474
764,Lenovo,Notebook,Intel,14,8,1.65,4,1465
765,Lenovo,Notebook,Nvidia,15.6,8,2.2,10,899
769,Lenovo,Notebook,Nvidia,14,8,1.87,7,857.07
770,Lenovo,Notebook,Intel,13.3,8,1.44,3,960
771,Lenovo,Notebook,Intel,15.6,8,2.2,1,329
772,Lenovo,Notebook,Intel,14,8,1.7,6,1186
773,Lenovo,Notebook,Intel,14,8,1.32,8,1650
774,Lenovo,Notebook,Intel,15.6,8,2.3,3,850.66
777,Lenovo,Notebook,Nvidia,15.6,8,2.6,1,789
778,Lenovo,Notebook,Nvidia,15.6,8,2.2,2,685
779,Lenovo,Notebook,Intel,15.6,8,2.3,4,1349
782,Lenovo,Notebook,Intel,14,8,1.7,6,1199
785,Lenovo,Notebook,Intel,15.6,8,2.2,9,459
791,Lenovo,Notebook,Intel,15.6,8,2.3,1,573
792,Lenovo,Notebook,Intel,14,8,1.9,4,1072
795,Lenovo,Notebook,Nvidia,15.6,8,2.6,8,899
799,Lenovo,Ultrabook,Intel,14,16,1.14,2,2450
801,Lenovo,Ultrabook,Intel,14,16,1.1,7,2099
